"ResourceTypeGeneral","ResourceType","Count"
"text","reports",5084
"text","griffith thesis",5042
"other","still image",5030
"text","статья",5004
"text","journal",4902
"text","documentation",4795
"text","brev",4570
"other","phdthesis",4483
"text","abstract",4438
"other","manuscript",4399
"text","issue",4345
"other","thesis",4230
"other","texte manuscrit",4103
"text","honors thesis",4086
"text","textreport",4068
"other","trabajo de grado  pregrado",3929
"text","picture",3921
"text","buch",3843
"text","research paper",3758
"text","textoffice",3730
"text","published journal article",3620
"text","data paper",3564
"text","fotografie",3481
"text","kapitel",3480
"other","masterthesis",3417
"text","software documentation",3408
"text","dialogue",3327
"text","zeitschriftenaufsatz",3281
"text","narrative",3279
"text","bookpart",3278
"other","book",3173
"other","brev",3117
"text","teaching materials",3113
"text","textconference paper",3087
"text","essay",3057
"other","article",3051
"text","peer review",2993
"text","charter",2985
"text","proposal",2890
"text","review",2875
"text","conference item",2827
"other","text  image",2792
"other","data collection",2785
"text","tech report",2746
"text","trykt skillingsvise",2719
"text","article scientifique",2628
"other","otherresearch material",2609
"other","conference paper presentation",2595
"text","multivolume work",2591
"other","chapter",2560
"other","event",2549
"text","talk",2479
"other","httprdaregistryinfotermlistrdacontenttype1012",2465
"other","conference paper",2441
"text","trykt plakat",2439
"text","monografie",2418
"other","monografie",2407
"text","book review",2401
"text","phd dissertation",2375
"other","composition",2370
"other","theses  dissertations",2331
"text","conference presentation",2321
"text","aufsatz",2314
"text","blog",2246
"text","project milestone",2228
"text","correspondance séguier",2168
"text","research report",2118
"text","kurrent",2114
"other","virtual 3d object",2053
"text","korrespondenz",2043
"other","buch",2030
"other","conference object",2023
"text","thesis bachelor",1999
"text","bachelor thesis",1983
"text","documento de trabajo",1983
"other","thesis masters",1968
"text","phd thesis",1968
"text","brev tekst",1959
"text","musical notation",1919
"other","paradisec essence",1872
"text","periodical",1821
"text","misc",1796
"other","model",1790
"text","inhouse",1787
"text","conference proceedings",1754
"other","zeitschriftenheft",1734
"other","μεταπτυχιακή διπλωματική εργασία",1703
"text","articleartikel",1699
"text","artikel",1680
"text","presentations",1672
"other","forschungsbericht",1669
"text","textpublished journal article",1657
"text","conference object",1641
"other","tesis de pregrado",1639
"text","dictionary entry",1561
"other","httprdaregistryinfotermlistrdacontenttype1014",1557
"text","trabajo de grado  maestría",1541
"text","newspaper",1498
"text","handschrift",1495
"other","dataset",1487
"other","proteinligand binding data",1477
"other","textsimages",1406
"text","aufsatzjournal article",1391
"other","11  studentische arbeit",1386
"other","journal",1379
"text","part of a periodical volume tome issue",1352
"text","cruise report",1337
"text","учебное пособие",1315
"text","workingpaper",1312
"text","habilitation",1304
"other","tekst",1295
"other","blog",1293
"other","pdf",1278
"text","book part",1269
"other","music print",1268
"other","standard",1263
"other","sound",1255
"text","researchresults",1247
"other","01a  beitrag in wissenschaftlicher zeitschrift",1241
"text","patent",1214
"other","archival material",1189
"text","volume",1170
"text","newsletter article",1152
"text","book article",1149
"text","blog post",1144
"other","bachelorthesis",1143
"text","masterthesis",1136
"text","hs",1097
"other","inproceedings",1095
"other","unav unavailable",1093
"other","correspondence",1091
"text","beitrag in magazin oder zeitung",1057
"text","artikkeli lehdessä",1048
"other","thesis mphil",1042
"other","folkeskolen",1037
"other","poster",1032
"other","genome variation",1018
"other","gjenstand",1006
"text","blogpost",1004
"other","patent",998
"text","unkn",997
"other","presentation",992
"text","werkmanuskript",991
"other","research material",989
"text","conferencearticle",985
"text","accepted manuscript",978
"other","working paper",971
"other","texts",966
"other","thesis or dissertation",962
"other","tesis pregrado",955
"other","research paper",951
"text","component",941
"other","infoeureposemanticsdoctoralthesis",935
"text","online publication",927
"text","html",922
"other","doctoralthesis",908
"text","conferenceobject",898
"text","essays",888
"text","undergraduate textbook",887
"text","talk nonconference",883
"other","artikelaufsatz",866
"other","technical report",841
"other","artikel",835
"other","instructional resource",827
"other","syllabus",812
"text","work",808
"text","newsletter",805
"other","trabajo de divulgación",801
"text","thesis master",801
"other","buch einzelnes kapitel",794
"other","image",793
"text","conference papers",784
"text","proceedings",783
"text","articolo",766
"other","01b  beitrag in magazin oder zeitung",749
"text","scientific paper",746
"text","zeitschrift",739
"other","bericht report",730
"other","workingtechnical paper",701
"other","tesi di dottoratotesi di dottorato",696
"other","texte",693
"text","autograph",691
"text","inproceedings",670
"other","map",667
"other","project",667
"text","articlecollection",666
"text","government publication",666
"text","pdfdocument",665
"text","collection",659
"text","zeitschriftenartikeljournal article",657
"text","handschriftlich",652
"text","arbeitspapier",645
"other","πτυχιακή εργασία",638
"other","buch monographie",626
"text","front matter",626
"text","bachelorthesis",612
"text","autograf",609
"text","textsubmitted journal article",608
"other","thesis masters subthesis",601
"text","conferenceitem",595
"other","creativework",591
"other","guidelines",591
"other","texts  images",591
"text","technical documentation",588
"other","tesi di dottorato",584
"other","unpublished",577
"text","msc thesis",573
"text","speech",573
"other","newsletter",572
"text","supervised student publication",566
"other","conferenceobject",565
"text","maschinenschriftlich",559
"other","learning object",554
"other","διπλωματική εργασία",547
"other","08 tesi di dottorato doctoral thesis081 tesi di dottorato doctoral thesis",545
"other","04a  beitrag sammelband",544
"text","journal article academic journal",544
"text","textconference poster",535
"text","manuskript trykt",534
"text","monographie",532
"text","mapdigi",525
"text","bidissertation",521
"other","otherpresentation",518
"other","05  forschungs oder arbeitsbericht",517
"text","video",515
"other","datasheet",508
"text","scholarlyarticle",504
"text","postdoctoral thesis",503
"text","scholarly article",503
"other","teil eines buches",499
"other","journal contribution",498
"other","test",498
"text","paradisec essence",496
"other","review",491
"text","map",491
"text","masch",491
"other","book chapter",486
"other","c",485
"other","abstract",482
"text","digitalcopy",482
"text","journal item",480
"other","04b  beitrag konferenzschrift",477
"text","capstone",476
"text","report bericht",471
"text","engineers thesis",469
"text","conferenceabstract",467
"other","web page",465
"text","audio",462
"other","capítulo  parte de libro",459
"text","thesisphd",459
"other","thesis honours",458
"text","gsi report",453
"text","field notebook",452
"other","06  präsentation",446
"text","prof doc thesis",439
"text","monographiemonograph",438
"other","ebooks natifs numériques",427
"other","photographs",422
"text","lecture",421
"text","flyer",419
"text","thesis phdresearch",416
"text","rezension",411
"other","audio recording",406
"other","news",406
"text","chapters",405
"other","conference proceedings",404
"text","negative results",404
"other","susy les houches accord file",393
"other","finding aid",392
"other","performance",392
"text","acte de congrès",392
"other","essay",389
"other","workflow",387
"text","manual",387
"other","annotation",386
"other","artykuł",384
"text","tegning",380
"other","ressource textuelle",379
"other","beitrag zu einer konferenz",373
"text","conference full text",373
"text","professional paper",373
"text","bibliography",368
"text","infoeureposemanticsother",366
"text","phd thesis dissertation",366
"text","teil eines buches",365
"other","thesis graduate diploma",363
"other","διάλεξη",362
"other","trabajo de grado  especialización",359
"text","singing",357
"text","leaflet",354
"text","dissertationdissertation phd",353
"text","buchkapitel",334
"other","trabajo de grado  maestría",330
"text","european forum insight",329
"other","book review",326
"other","report bericht",326
"text","periodicals",326
"other","publication",323
"text","correspondence",323
"text","scientific article",316
"text","series",315
"other","5 altro514 tesi di dottorato",313
"other","conference",313
"text","technical requirement",313
"other","paper",303
"text","skala",301
"text","capstone project",298
"other","httprdaregistryinfotermlistrdacontenttype1011",297
"other","metadata",296
"text","phdthesis",293
"text","masterarbeit",292
"other","dat file",291
"other","instrument",285
"other","masterarbeit",285
"other","musics",285
"text","declaration",285
"text","konferenzveröffentlichung",284
"other","glyphe",283
"text","bilde tegning",280
"text","wissenschaftlicher artikel elektronische erstveröffentlichungscientific article published electronically",277
"text","recension",274
"text","data collection",273
"other","unknown",269
"other","working or discussion paper",267
"text","yearbook article",266
"text","journal articles",265
"text","interview transcript",264
"text","edited book",261
"text","reviews",261
"other","anderes",260
"text","results",260
"text","policy paper",258
"other","monograph",257
"text","test report",256
"text","contribution to journal",254
"text","magazine article",254
"text","монография",254
"text","conferenceposter",252
"text","textworkshop paper",251
"text","study thesis",250
"text","article de colloque",249
"other","bookpart",247
"other","mémoires niveau bachelor",247
"text","newspapers",247
"other","blog post",246
"text","hochschulschrift",246
"other","infoeureposemanticsmasterthesis",239
"text","staff working paper",237
"other","textes",236
"text","zeitschriftenausgabe",236
"other","httprdaregistryinfotermlistrdacontenttype1013",235
"other","bericht",234
"text","buchbeitrag",232
"text","conferenceproceedings",231
"text","doctor of medicine research md res",230
"text","учебнометодическое пособие",230
"other","map and chart",228
"other","preregistration",228
"text","conference proceeding",228
"other","otherlearning object",227
"other","registration",227
"text","source",222
"other","carte",220
"text","projectrapport",220
"text","supervised student",219
"text","closedthesis",218
"text","bachelors thesis",216
"other","infoeureposemanticsdataset",214
"other","fileset",213
"text","legal comment",211
"other","upov test guidelines",210
"text","blogposting",208
"text","case study",204
"text","conference",203
"text","diplomathesis",203
"text","closeddissertation",201
"text","print",201
"other","griffith thesis",199
"other","component",195
"text","lecturespeech",195
"text","textbook",194
"other","tabular data",192
"other","presentación",190
"other","02  monographie",189
"other","image  imprimée cartographie",189
"other","informe técnico",186
"other","journalissue",185
"other","book contribution",183
"other","brochures natifs numériques",181
"text","periodicalpart",180
"other","reproducibility package",179
"other","teil eines periodikums",179
"text","journalissue",178
"other",2,173
"text","staff discussion paper",172
"other","letter",171
"text","neps survey paper",170
"text","periodicalissue",168
"text","piece of collection",168
"text","verwaltungsschrift",168
"text","businessschoolcasestudy",167
"other","curso virtual",166
"other","text grille de questionnaire tapuscrite complétée à la main",165
"other","periodical",164
"text","inproceeding",163
"other","arbeitspapier",161
"text","petits correspondants",161
"text","reportpaper",161
"other","βιβλίο",160
"text","revue",160
"text","syllabus",159
"other","rapports",158
"text","frontmatter",158
"text","project report",158
"other","seismic network",157
"text","discussion paper",157
"other","text general",155
"other","study record",152
"text","bmn ms 144 gouan",152
"other","książka",150
"text","bookchapter",150
"text","dataset",150
"other","c file",149
"text","konferenzbeitragconference paper",149
"text","entry for encyclopedia",148
"other","text file",147
"text","newspaper article",147
"text","phd by publication",147
"other","research data",146
"text","corpus",146
"text","kongressschrift",146
"text","other document",146
"text","2326 september 2019",145
"text","briefsammlung",145
"other","text manuscrit",144
"text","11  studentische arbeit",144
"text","zeitschriftenheft",144
"text","artikelarticle",143
"text","analytical note",141
"text","deliverable",141
"text","miscellaneous",140
"other","stillimage",139
"text","dissertation oder habilitation",139
"text","periodical part",139
"other","data management plan",138
"other","conference proceeding",137
"text","buch monographie",136
"text","edition",136
"other","revue",135
"text","senior thesis major",135
"text","bookitem",134
"text","basic geology",133
"other","gz file",130
"other","meeting document",129
"text","chansons",129
"text","учебник",129
"text","research article",128
"other","blogpost",127
"other","transcription",127
"other","contribution to newspapermagazine",126
"other","documento de trabajo",126
"other","archive papier",125
"text","submitted journal article",125
"text","textchapter",125
"other","movingimage",123
"other","natifs numériques revues",123
"other","studentwork",123
"other","unv unavailable",123
"text","arbeitspapierworking paper",122
"text","phd",122
"other","adressbuch",121
"text","article validé par les pairs",121
"text","trykt",121
"other","konferenzveröffentlichung",120
"other","material didáctico",120
"text","master of philosophy mphil",120
"text","poetic work",120
"text","textabstract",118
"other","httppurlorgdcdcmitypetext notice datlas",117
"other","8 tesi di dottorato81 tesi di dottorato dal 2019",116
"text","periodicalvolume",116
"other","rozdział",115
"text","interview",115
"other","frozen page",114
"text","catalog",114
"text","практикум",114
"text","beitrag zu einer nichtwissenschaftlichen zeitung oder zeitschrift",113
"text","notificationlist",113
"text","biography",112
"text","image",112
"text","researcharticle",112
"text","zeitschriftenausgabejournal issue",112
"other","image  imprimée plan",111
"text","course material or learning objects",111
"other","bachelor thesis",109
"other","mémoires niveau master",109
"other","aufsatz",107
"other","workshop paper",107
"text","doctoral project",107
"text","protocol",107
"text","editionseinführung",106
"text","editorial",106
"text","guideline",106
"text","orgelpredigt digitale edition",106
"text","quellenbeschreibung",106
"other","masters thesis",105
"text","lexicon of resistance in the iberian empires 15001850",105
"other","infoeureposemanticsbachelorthesis",104
"other","lexicon",104
"text","address",104
"text","ebook pdf",103
"text","techreport",103
"text","abstracts",101
"text","fdzdatenreport",101
"text","study",100
"text","working papertechnical report",100
"text","working papers",98
"other","blogbeitrag",97
"other","collection",95
"text","forum",95
"other","creative work",94
"other","lecture",94
"text","pretestbericht",94
"text","lecture speech",93
"text","lehrmaterial",93
"text","научная статья",93
"other","wissenschaftlicher beitrag",92
"other","asset",90
"other","audiovisual",90
"text","fragment",90
"text","journal issue with articles",90
"text","bok trykt",89
"text","kurrent tinte schwarz",89
"text","mccip report peer reviewed",89
"other","book article",88
"other","document imprimé text",88
"text","mphil thesis",88
"other","hypothesis",87
"other","infoeureposemanticsother",87
"text","book item",87
"text","true",87
"other","03  sammelband",86
"other","conference poster",86
"text","narration",86
"text","trabajo de grado  doctorado",85
"other","thesis dpsychclinical",84
"text","katalog",84
"other","interactive resource",83
"text","interviews",82
"text","bookreview",81
"text","staff analytical note",81
"other","annual report",80
"other","diplomarbeit",80
"other","journalarticle",80
"other","website",80
"text","crenobalneotherapy",80
"text","sammelwerksbeitragcollection article",80
"text","directory",79
"text","weiteres textuelles material",78
"text","festschrift",77
"other","forschungsdaten",76
"other","thesis d sc",76
"text","journal komplette ausgabe eines zeitschriftenheftes",76
"other","inscription",75
"text","estate records",75
"text","fiction",75
"text","fonds numérique des livrets dopéra sous lancien régime lacadémie royale de musique de paris première génération 16731732",75
"text","webpage",75
"other","esperti anonimi",74
"other","report research",74
"text","bericht",74
"text","cover page",74
"text","verschiedenartige texte",74
"text","review in a journal",72
"text","web article",72
"other","book part",71
"other","ephemera",71
"other","sonstiges",71
"other","biography",70
"other","case study",70
"other","histfactory file",70
"other","protocol",70
"text","skalendokumentation online",70
"other","guideline",69
"other","png file",69
"text","conferencecontribution",69
"text","tesi di dottorato",69
"other","interview",68
"text","bachelorarbeit",68
"text","habilitation thesis",68
"text","website",68
"text","leihschein",67
"other","httpinspireeceuropaeuthemeau httppurlorgdcdcmitypestillimage image unités administratives division administrative",66
"text","editorial article",66
"other","data sheet",65
"other","textual data",65
"text","educational resource",65
"text","policy brief",65
"text","portfolio",65
"other","analysis",64
"other","rapport",64
"other","contrat dautorisation",63
"other","video",63
"text","european forum highlight",63
"other","8 tesi di dottorato81 tesi dottorato",62
"other","abschlussarbeit bachelor",62
"other","factsheet",62
"other","policy brief",62
"text","formulaic",62
"text","présentations",62
"text","preface",61
"other","cartes  cartes et plans atlas",60
"other","oral history interview transcript",60
"other","course material or learning objects",59
"other","recurso educativo abierto",59
"other","διδακτορική διατριβή",59
"text","1619 september 2019",59
"text","personal document",59
"text","policy research",59
"text","research collection",59
"other","moving image",58
"text","bilde illustrasjon",58
"text","buch einzelnes kapitel",58
"text","ebook",58
"text","postgraduate textbook",58
"text","workshop paper",58
"other","abschlussarbeit master diplom",57
"other","articles de journal",57
"other","verschiedenartige texte",57
"text","standard or specification",57
"text","textmagazine article",57
"other","pamphlet",56
"text","amoreux pierre joseph",56
"text","annual report",56
"text","beitrag in einem sammelwerk  postprint",56
"text","blog article",56
"text","conference proceeding article",56
"text","trabajo de grado  especialización",56
"text","vertebrate zoology scientific article",56
"other","thesis dissertation",55
"other","conferenceitem",54
"other","trykt plakat",54
"text","applicationpdf applicationpdf",54
"text","textconferencepaper",54
"other","document",53
"other","statistics",53
"text","exhibition gallery text",53
"text","libro",53
"text","original article",53
"text","textjournal article",53
"other","bachelor dissertation",52
"other","bachelorarbeit",52
"other","carte image",52
"other","httprdaregistryinfotermlistrdacontenttype1020",52
"text","encyclopediaarticle",52
"other","txt utf8",51
"text","artykuły  articles",51
"text","bibliographies",51
"text","contes",51
"text","engineering doctorate engd",51
"text","pds4 refereed document",51
"text","review paper",51
"text","table of contents",51
"other","01 libro book012 libro in qualità di curatore book as editor",50
"other",295,50
"other","planche cartographique image",50
"other","workingpaper",50
"text","book of abstracts",50
"other","archive conservée",49
"other","data",49
"other","root file",48
"text","doctorate other than phd",48
"text","introduzione critica alle scritture antiche",48
"text","procedural",48
"text","statistics",48
"text","working file",48
"text","тезисы доклада",48
"other","conference presentation",47
"other","einzelbeitrag in einer wissenschaftlichen zeitschrift",47
"text","basic research object",47
"text","event",47
"text","monographs",47
"text","review article",47
"text","sammelbandbeitrag oder buchkapitel",47
"text","scale",47
"other","infoeureposemanticsbook",46
"text","containedwork",46
"text","extended abstract",46
"text","inproceedings aufsatz  paper einer konferenz etc",46
"text","online resource",46
"text","textreview",46
"other","bild",45
"other","datapaper",45
"other","isas brief",45
"other","symposium poster",45
"text","terminologie",45
"other","infoeureposemanticsbookpart",44
"other","publishedversion",44
"other","bookchapter",43
"other","capstone",43
"other","ebooks numérisations",43
"other","objeto de aprendizaje",43
"text","archivo julio cortázar carpeta dy 04  donación gladis a yurkievich  prensa y folletos yurkievich sjc 19682011",43
"text","fact sheet",43
"text","monographie imprimée",43
"other","10  elektronische webpublikation",42
"other","editorial",42
"other","other learning objects",42
"other","plan",42
"other","thesis ba",42
"text","mastersthesis",42
"text","sammelband",42
"text","sonstiges",42
"text","textartikel",42
"text","vifaost",42
"other","eduthèque",41
"other","study design",41
"text","arthropod systematics  phylogeny scientific article",41
"text","directed research project",41
"other","newspaper article",40
"other","python file",40
"text","archivo julio cortázar carpeta dy 02  donación gladis a yurkievich  textos de jccartas",40
"text","form",40
"text","laboratory guide",40
"text","studienarbeit",40
"other","infoeureposemanticsarticle",39
"other","ton",39
"text","article médical",39
"text","colloques et conférences",39
"text","fdzmethodenreport",39
"text","infoeureposemanticsarticle",39
"text","openaccesscontribution",39
"text","organization info",39
"text","thesisdissertation",39
"other","bilde tegning",38
"other","text manuscrit lettre",38
"text","bibliographicmetadata",38
"text","bmn ms 143",38
"text","bok manuskript",38
"text","briefing paper",38
"text","communication",38
"text","course material",38
"text","slides",38
"text","testmanual",38
"text","tätigkeitsbericht jahresberichtannual report",38
"other","archivo julio cortázar carpeta dy 04  donación gladis a yurkievich  prensa y folletos yurkievich sjc 19682011",37
"other","konferenzband",37
"other","online publication",37
"other","sonstige publikationen",37
"text","white paper",37
"other","00  projekt",36
"other","final project",36
"other","handschrift",36
"other","proceedings",36
"other","sonstige",36
"text","2125 feburar 2022",36
"text","data sheet",36
"text","diary",36
"text","manuskript kart",36
"text","reading list",36
"text","virtual exhibition",36
"other",20,35
"other","5 altro512 tesi dottoratono miur",35
"other","tgz file",35
"text","expertise",35
"text","finding aid",35
"text","testverfahren",35
"text","working papers and policy briefs",35
"other",298,34
"other","interpretation",34
"other","magazine",34
"text","276  172022",34
"text","beitrag in sammelband",34
"text","fotoalbum",34
"text","publikation",34
"other",276,33
"other","act of the community",33
"other","partition musicale",33
"other","podcast",33
"other","report commissioned",33
"other","trabajo de grado  doctorado",33
"other","transcript",33
"text","abschlussbericht",33
"text","crénobalnéothérapie",33
"text","forschungsdaten",33
"text","information sheets",33
"text","original research",33
"text","resource",33
"text","sammlungsverzeichniskatalog",33
"text","text image",33
"other","bilde kart",32
"other","notes de terrain",32
"other","recurso educativo",32
"other","tegning",32
"other","tesis de maestría  master thesis",32
"text","resource report",32
"text","studythesis",32
"text","undergraduate thesis",32
"text","verzeichnis liste dokumentationlist",32
"other","boletín",31
"other","meeting abstract",31
"other","play",31
"other","portraits",31
"other","special contribution",31
"text","executable research object",31
"text","experiment report",31
"text","lifbi working paper",31
"text","research data",31
"text","sammelwerkcollection",31
"text","teachingmaterial",31
"text","textconference demo",31
"text","trykt manuskript",31
"other","99  sonstiges",30
"other","textedition",30
"text","certificate of analysis",30
"text","fonds darchives marcos ana manuscrits de prison",30
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm winter semester 20212022",30
"text","replikreplication",30
"text","test",30
"text","textlong",30
"text","vorlesung",30
"other","audio",29
"other","periodicals",29
"other","thesis by publication",29
"text","archivo julio cortázar carpeta dy 01  donación gladis a yurkievich  correspondenciaventa de los manuscritos jc",29
"text","выпускная квалификационная работа",29
"other","documento institucional",28
"other","inproceedings aufsatz  paper einer konferenz etc",28
"other","póster de congreso",28
"text","entry for encyclopediadictionary",28
"text","magisterthesis",28
"text","program",28
"text","recommendation",28
"text","txt",28
"text","сборник статей",28
"other","demonstration paper",27
"other","journal komplette ausgabe eines zeitschriftenheftes",27
"other","mémoires de formation approfondie etou continue",27
"other","presentacin comunicacin de congreso",27
"other","summary",27
"text","audiovisual",27
"text","beitrag in sammelbandarticle in edited volume",27
"text","bimasterthesis",27
"text","finding aids",27
"text","incunable",27
"text","measurement protocol",27
"text","pamphlet",27
"text","research note",27
"text","site notebook",27
"text","supporting output",27
"other","01 libro book011 libro in qualità di autore book as author",26
"other","3d object",26
"other","periodikum",26
"other","poster du colloque lire le sol en archéologie  pratiques de terrain et regards croisés 291101122023 tours france",26
"other","practicum",26
"other","xml file",26
"text","bibliographiebibliography",26
"text","contribution to journal  article",26
"text","edition and commentary",26
"text","habilitationsschrift",26
"text","journal articlezeitschriftenaufsatz",26
"text","newspaper clippings",26
"text","poem",26
"text","text forum",26
"text","textposter",26
"other","bok manuskript",25
"other","céramique",25
"text","conference output",25
"text","extended conference abstract",25
"text","testquestionnaire",25
"other","8 tesi di dottorato82 tesi di dottorato fino al 2018",24
"other","art",24
"other","bewegte bilder",24
"other","konferenzbeitrag",24
"other","map layer",24
"other","thesis bachelors",24
"text","01a  beitrag in wissenschaftlicher zeitschrift",24
"text","archivo julio cortázar carpeta dy 05  donación gladis a yurkievich  textos de yurkievich sjc",24
"text","diplomarbeit",24
"text","eudat2020 deliverable",24
"text","foreword",24
"text","guide",24
"text","handbook",24
"text","music",24
"text","musikalie",24
"text","other article",24
"text","part of book",24
"text","translation",24
"other",0,23
"other","digitalspecimen",23
"text","conference report",23
"text","data set",23
"text","practicematerial",23
"text","presentation slides",23
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm summer semester 2023",23
"text","verbatim text transcription",23
"other","forms",22
"other","pictorial works",22
"other","reports",22
"other","tar file",22
"other","text imprimé coupure de presse",22
"other","topographie de cavité",22
"other","video recording",22
"other","xml utf8 10",22
"text","anderer publikations oder dokumenttyp",22
"text","ausgabe heft zu einer zeitschrift",22
"text","blogeintrag",22
"text","ginanni giuseppe",22
"text","lessicografia navale antica",22
"text","overview",22
"text","pretest report",22
"text","proceedings of the seminars future internet fi and innovative internet technologies and mobile communications iitm summer semester 2014",22
"text","professional doctorate",22
"text","program newsletter",22
"text","thought paper",22
"other","01  zeitschriftenartikel journalartikel oder magazin",21
"other","calendar",21
"other","documentation",21
"other","musical score",21
"other","pierre",21
"other","ressources dossier",21
"other","workshop",21
"text","081 web pages",21
"text","artikel in einer zeitschrift  postprint",21
"text","beitrag in den medienimpulsenat",21
"text","bilde maleri",21
"text","capstone report",21
"text","contribution in an edited volume",21
"text","habilitation dissertation",21
"text","journal volume",21
"text","konferenzschrift",21
"text","kurrent tinte",21
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm summer semester 2020",21
"text","proceedings of the seminars future internet fi and innovative internet technologies and mobile communications iitm summer semester 2011",21
"text","proceedings of the seminars future internet fi innovative internet technologies and mobile communications iitm and autonomous communication networks acn summer semester 2013",21
"text","research tool",21
"text","studie",21
"text","ton",21
"text","web page",21
"other","json file",20
"other","mémoires thèses et hdr",20
"other","programs",20
"other","realworldapplication",20
"text","annual technical report",20
"text","applicationxdownload",20
"text","computer file",20
"text","datasheet",20
"text","forschungsberichtresearch report",20
"text","introduction",20
"text","lecture à haute voix",20
"text","leitlinie",20
"text","petitions",20
"text","populationgenomic insights into the evolutionary origin and fate of obligately asexual daphnia pulex",20
"text","postprint",20
"text","proceedings article",20
"text","textworkshop",20
"other","archive numérisée",19
"other","buchkapitel",19
"other","digitale altbestände",19
"other","pdf file",19
"other","ponencia",19
"other","postcards",19
"other","yearbook",19
"other","ανάτυπο",19
"text","article სტატია",19
"text","brev manuskript",19
"text","dkrz series technical report",19
"text","faktenblatt",19
"text","insight",19
"text","notes",19
"text","notesdocuments",19
"text","open educational resource",19
"text","prospective",19
"text","textjournal articles",19
"text","textwissenschaftliche beiträge",19
"other","abschlussarbeit master",18
"other","autre publication scientifique",18
"other","bulletin de veille",18
"other","commissioned report",18
"other","habilitation",18
"other","lehrmaterial",18
"other","slide deck",18
"other","spreadsheet",18
"text","konferenz proceedings",18
"text","nachruf",18
"text","questionnaire",18
"text","reflection",18
"text","web published article",18
"other","band",17
"other","electronic newsletter",17
"other","genericwork",17
"other","habilitationsschrift",17
"other","httpinspireeceuropaeuthemeau httppurlorgdcdcmitypestillimage image frontière unités administratives",17
"other","tei utf8 300",17
"text","dissertation pdf",17
"text","graduierungsschrift",17
"text","incollection",17
"text","magisterarbeit",17
"text","position paper",17
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm summer semester 2024",17
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm winter semester 20182019",17
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm winter semester 2023",17
"text","selbstzeugnis",17
"text","séminaire",17
"text","zeitschriftenaufsatzjournal article",17
"text","биографический очерк",17
"other","guide",16
"other","html file",16
"other","journal issue",16
"other","learning materials",16
"other","slha file",16
"other","special report",16
"other","text correspondance",16
"other","édition de sources",16
"text","archivo julio cortázar carpeta 02  estudios de conjunto largos",16
"text","article historique",16
"text","artigo",16
"text","bok",16
"text","book or book chapter",16
"text","etude",16
"text","explainer",16
"text","libri in discussione",16
"text","maschinenschriftlich handschriftlich",16
"text","masters field project",16
"text","matériels pédagogiques",16
"text","memoria",16
"text","part of a book",16
"text","poetry",16
"text","posterabstract",16
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm summer semester 2019",16
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm summer semester 2021",16
